tool,size,t_parse
sophia,10000,0.039513245
sophia,10000,0.034686673
sophia,10000,0.037608337
sophia,10000,0.033293009
sophia,20000,0.064292676
sophia,20000,0.063316235
sophia,20000,0.06416958
sophia,20000,0.062325203
sophia,40000,0.107873505
sophia,40000,0.106970862
sophia,40000,0.11541705
sophia,40000,0.113138034
sophia,80000,0.213059759
sophia,80000,0.210672221
sophia,80000,0.213835257
sophia,80000,0.213613785
sophia,100000,0.266881665
sophia,100000,0.262877347
sophia,100000,0.271672681
sophia,100000,0.27348102
sophia,1000000,2.600118523
sophia,1000000,2.596065367
sophia,1000000,2.609105158
sophia,1000000,2.585942958
sophia,10310000,26.622219138
sophia,10310000,26.489676243
